treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
1,-2.5,1,92,-0,0,1,98,-0,0,3,0,3,1,1,0,1,37,-2.5
1,3,2,50,-1,3,1,81,-0,2,0,1,1,1,0,0,1,25,0
1,0.5,1,50,-0,1,1,71,-0,0,3,0,2,1,1,0,0,57,-0.5
0,2.5,NA,100,-0,2,1,94,1,-1,3,0,2,1,0,0,1,65,0.5
0,2,1,100,-0,2.5,2,100,-0,2,1,0,3,1,1,0,1,58,-0.5
0,2,1,77,1,1,1,86,-0,0,1,0,3,0,1,0,1,21,1
1,2,0,90,-2,1.5,0,76,-2,1,1,0,2,1,1,0,1,53,0.5
1,0,1,100,-0,-1,1,100,1,0,5,0,3,1,0,0,1,19,1
1,NA,NA,NA,NA,3,2,100,-0,2,4,0,3,1,1,0,1,20,NA
1,NA,NA,50,1,3,2,100,2,0,3,0,3,1,1,0,1,19,NA
1,3,2,100,-2,3,1,100,-1,0,4,1,3,1,1,0,1,24,0
0,NA,2,NA,NA,3,2,99,2,2,1,0,1,0,1,0,1,66,NA
0,0,1,50,-2,3,1,50,-2,0,5,1,0,1,1,0,1,71,-3
0,0,1,50,-2,2.5,1,50,-2,0,5,1,0,1,1,0,1,35,-2.5
0,0,0,95,-1,1.5,0,50,-1,0,4,1,2,1,1,0,1,65,-1.5
0,-2,1,50,-1,0,1,50,-0,0,0,0,0,0,1,0,0,18,-2
1,3,2,50,-1,2.5,2,100,-0,2,3,0,3,1,1,0,1,64,0.5
1,1.5,1,50,-0,2,0,99,-0,0,3,0,3,1,1,0,1,20,-0.5
0,NA,1,77,-0,2,1,79,-0,2,1,0,3,1,1,0,1,55,NA
1,NA,NA,NA,NA,-0.5,1,100,-0,0,5,0,3,1,1,0,1,49,NA
0,3,2,50,2,3,2,95,2,0,1,1,3,1,0,0,0,67,0
1,2,0,99,1,2,0,100,-2,2,0,0,0,1,0,1,0,33,0
0,NA,1,50,-1,0,0,100,-1,0,3,0,2,1,1,0,1,65,NA
1,-3,0,0,2,-2.5,0,0,-2,0,4,1,-3,0,0,1,0,52,-0.5
1,NA,NA,NA,NA,0,1,50,-0,2,1,1,2,0,0,1,0,47,NA
1,1.5,2,65,-0,2,2,86,1,0,3,1,-3,0,1,0,1,22,-0.5
1,3,2,50,2,3,1,42,2,0,0,1,-2,1,1,1,0,26,0
0,-2,1,0,-2,1,1,0,-0,-2,3,0,-1,0,0,1,0,58,-3
0,1.5,2,100,-0,3,2,100,2,1,5,1,3,1,0,0,1,45,-1.5
0,NA,NA,50,-0,3,1,50,1,0,0,0,3,0,1,1,0,26,NA
0,0.5,0,NA,NA,1,1,90,-2,0,2,0,1,1,0,0,1,20,-0.5
1,NA,NA,NA,NA,1.5,2,100,-0,1,0,1,1,1,0,0,1,33,NA
